Epoch [95/250], Train Loss: 2.1419, Val Loss: 2.3345, Test Loss: 2.6812
Epoch [96/250], Train Loss: 1.6941, Val Loss: 3.1226, Test Loss: 3.4880
Epoch [97/250], Train Loss: 1.5889, Val Loss: 5.5602, Test Loss: 6.2701
Epoch [98/250], Train Loss: 1.5090, Val Loss: 11.0513, Test Loss: 11.9239
Epoch [99/250], Train Loss: 2.3679, Val Loss: 4.5907, Test Loss: 4.9833
Epoch [100/250], Train Loss: 2.2039, Val Loss: 8.0693, Test Loss: 8.7388
Epoch [101/250], Train Loss: 1.4237, Val Loss: 3.6189, Test Loss: 4.0432
Epoch [102/250], Train Loss: 1.6596, Val Loss: 5.4772, Test Loss: 6.0468
Epoch [103/250], Train Loss: 1.5422, Val Loss: 3.2279, Test Loss: 3.5663
Epoch [104/250], Train Loss: 1.8761, Val Loss: 4.0920, Test Loss: 4.5007
Epoch [105/250], Train Loss: 1.4256, Val Loss: 2.4461, Test Loss: 2.7780
Epoch [106/250], Train Loss: 1.7348, Val Loss: 9.2116, Test Loss: 9.9657
Epoch [107/250], Train Loss: 1.4931, Val Loss: 5.2406, Test Loss: 5.6750
Epoch [108/250], Train Loss: 1.9542, Val Loss: 5.7460, Test Loss: 6.2234
Epoch [109/250], Train Loss: 28.8819, Val Loss: 7.1570, Test Loss: 7.6176
Epoch [110/250], Train Loss: 2.7736, Val Loss: 4.7003, Test Loss: 5.0383
Epoch [111/250], Train Loss: 8.3812, Val Loss: 33.7806, Test Loss: 35.4234
Epoch [112/250], Train Loss: 31.6974, Val Loss: 7.1790, Test Loss: 7.3751
Epoch [113/250], Train Loss: 3.0988, Val Loss: 3.5624, Test Loss: 3.8377
Epoch [114/250], Train Loss: 4.3346, Val Loss: 11.0061, Test Loss: 3.1463
Epoch [115/250], Train Loss: 6.7989, Val Loss: 12.1633, Test Loss: 13.0338
Epoch [116/250], Train Loss: 2.0616, Val Loss: 3.7710, Test Loss: 4.2129
Epoch [117/250], Train Loss: 1.4695, Val Loss: 4.4971, Test Loss: 4.9712
Epoch [118/250], Train Loss: 4.0285, Val Loss: 5.1851, Test Loss: 5.6973
Epoch [119/250], Train Loss: 6.7583, Val Loss: 9.3766, Test Loss: 10.2813
Epoch [120/250], Train Loss: 14.3798, Val Loss: 43.8505, Test Loss: 36.6819
Epoch [121/250], Train Loss: 26.1213, Val Loss: 7.4937, Test Loss: 8.1479
Epoch [122/250], Train Loss: 1.8357, Val Loss: 3.4877, Test Loss: 3.8831
Epoch [123/250], Train Loss: 2.5673, Val Loss: 4.2082, Test Loss: 4.4732
Epoch [124/250], Train Loss: 1.6395, Val Loss: 7.3274, Test Loss: 7.8188
Epoch [125/250], Train Loss: 3.5971, Val Loss: 22.9328, Test Loss: 24.2122
Epoch [126/250], Train Loss: 1.9193, Val Loss: 24.0681, Test Loss: 25.5811
Epoch [127/250], Train Loss: 1.4136, Val Loss: 5.9451, Test Loss: 6.4659
