Epoch [105/250], Train Loss: 69.4102, Val Loss: 68.8744, Test Loss: 76.5415
Epoch [106/250], Train Loss: 72.5154, Val Loss: 158.5882, Test Loss: 178.4663
Epoch [107/250], Train Loss: 67.5734, Val Loss: 417.5770, Test Loss: 430.5015
Epoch [108/250], Train Loss: 73.2826, Val Loss: 885.3891, Test Loss: 902.9653
Epoch [109/250], Train Loss: 84.7709, Val Loss: 601.6903, Test Loss: 613.1805
Epoch [110/250], Train Loss: 65.0292, Val Loss: 94.7579, Test Loss: 93.9718
Epoch [111/250], Train Loss: 73.9649, Val Loss: 142.3688, Test Loss: 153.6715
Epoch [112/250], Train Loss: 83.0740, Val Loss: 477.4600, Test Loss: 477.8630
Epoch [113/250], Train Loss: 71.4603, Val Loss: 103.2538, Test Loss: 113.1786
Epoch [114/250], Train Loss: 62.7488, Val Loss: 88.0100, Test Loss: 92.0515
Epoch [115/250], Train Loss: 59.0965, Val Loss: 194.4615, Test Loss: 195.5939
Epoch [116/250], Train Loss: 66.0046, Val Loss: 36.8931, Test Loss: 41.6299
Epoch [117/250], Train Loss: 63.7651, Val Loss: 58.7112, Test Loss: 63.1934
Epoch [118/250], Train Loss: 61.8057, Val Loss: 61.9912, Test Loss: 65.5578
Epoch [119/250], Train Loss: 79.4489, Val Loss: 97.6103, Test Loss: 100.4712
Epoch [120/250], Train Loss: 69.4243, Val Loss: 89.8870, Test Loss: 87.0220
Epoch [121/250], Train Loss: 59.8556, Val Loss: 62.9603, Test Loss: 66.0469
Epoch [122/250], Train Loss: 57.8205, Val Loss: 145.9243, Test Loss: 147.1098
Epoch [123/250], Train Loss: 61.0928, Val Loss: 118.8701, Test Loss: 116.6463
Epoch [124/250], Train Loss: 55.8449, Val Loss: 140.4884, Test Loss: 146.0580
Epoch [125/250], Train Loss: 56.5936, Val Loss: 179.3568, Test Loss: 172.1634
Epoch [126/250], Train Loss: 63.3667, Val Loss: 660.6262, Test Loss: 708.5757
Epoch [127/250], Train Loss: 56.6055, Val Loss: 517.0113, Test Loss: 537.2417
Epoch [128/250], Train Loss: 71.2884, Val Loss: 53.1963, Test Loss: 56.6315
Epoch [129/250], Train Loss: 54.8056, Val Loss: 227.0409, Test Loss: 241.1752
Epoch [130/250], Train Loss: 57.7117, Val Loss: 54.8766, Test Loss: 58.4981
Epoch [131/250], Train Loss: 57.4940, Val Loss: 149.2022, Test Loss: 152.3230
Epoch [132/250], Train Loss: 58.7770, Val Loss: 1439.1686, Test Loss: 1404.2689
Epoch [133/250], Train Loss: 50.5178, Val Loss: 55.1989, Test Loss: 58.2119
Epoch [134/250], Train Loss: 48.6488, Val Loss: 319.6337, Test Loss: 317.6212
Epoch [135/250], Train Loss: 52.0255, Val Loss: 141.4057, Test Loss: 132.0621
Epoch [136/250], Train Loss: 53.7991, Val Loss: 32.0108, Test Loss: 36.7116
Epoch [137/250], Train Loss: 48.1437, Val Loss: 113.6431, Test Loss: 121.8830
Epoch [138/250], Train Loss: 66.7880, Val Loss: 176.7143, Test Loss: 177.7877
Epoch [139/250], Train Loss: 50.4015, Val Loss: 280.6678, Test Loss: 278.0020
Epoch [140/250], Train Loss: 50.6172, Val Loss: 274.4602, Test Loss: 275.0566
Epoch [141/250], Train Loss: 76.7793, Val Loss: 94.4976, Test Loss: 99.9384
Epoch [142/250], Train Loss: 40.5901, Val Loss: 251.9003, Test Loss: 243.7568
Epoch [143/250], Train Loss: 51.6196, Val Loss: 144.7243, Test Loss: 149.0126
Epoch [144/250], Train Loss: 47.3160, Val Loss: 698.0022, Test Loss: 683.0716
Epoch [145/250], Train Loss: 49.9466, Val Loss: 46.7529, Test Loss: 48.7907
Epoch [146/250], Train Loss: 48.6073, Val Loss: 92.0358, Test Loss: 95.0572
Epoch [147/250], Train Loss: 51.8765, Val Loss: 166.5722, Test Loss: 162.7250
Epoch [148/250], Train Loss: 47.6331, Val Loss: 3794.2497, Test Loss: 3708.5351
